JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,,,,,,
3 Biotech,,,,,,
6,,,,,,
Acad Pathol,,,,,,
Academic Emergency Medicine,,,,,,
Academic Radiology,,,,,,
ACS Appl Mater Interfaces,,,,,,
ACS Cent Sci,,,,,,
ACS Chem Biol,,,,,,
ACS Infect Dis,,,,,,
ACS Omega,,,,,,
ACS Synth Biol,,,,,,
Acta Biomed,,,,,,
Acta Crystallogr D Biol Crystallogr,,,,,,
Acta Crystallogr D Struct Biol,,,,,,
Acta Crystallogr Sect E Struct Rep Online,,,,,,
Acta Crystallogr Sect F Struct Biol Cryst Commun,,,,,,
Acta Inform Med,,,,,,
Acta Med Port,,,,,,
Acta Naturae,,,,,,
Acta Neuropathol,Acta Neuropathologica,Springer,Yohannes Atterns,0001-6322,1432-0533,14.996
Acta Neuropathol Commun,Acta Neuropathologica,Springer,Yahannes Atterns,0001-6322,1432-0533,14.996
Acta Obstetricia et Gynecologica Scandinavica,,,,,,
Acta Orthop,,,,,,
Acta Otolaryngol,Acta Oto-Laryngologica,Taylor and Francis Group,Matti Anniko,0001-6489,1651-2553,3.446
Acta Otorhinolaryngol Ital,Acta Otorhinolaryngologica Italica,,,,,1.408
Acta Pharm Sin B,,,,,,
Acta Pharmaceutica Sinica B,,,,,,
Acta Pharmacol Sin,,,,,,
Acta Vet Scand,,,,,,
Acute Crit Care,,,,,,
Acute Med Surg,,,,,,
Adv Appl Bioinform Chem,,,,,,
Adv Bioinformatics,,,,,,
Adv Biomed Res,Advanced Biomedical Research,Medknow Publications,Shaghayegh Haghjooy Javanmard,,2277-9175,
Adv Dis Control Prev,,,,,,
Adv Exp Med Biol,,,,,,
Adv J Emerg Med,,,,,,
Adv Prev Med,,,,,,
Adv Sci (Weinh),,,,,,
Adv Virol,,,,,,
Afr Health Sci,,,,,,
Afr J Emerg Med,,,,,,
Afr J Infect Dis,,,,,,
Afr J Lab Med,,,,,,
Afr J Tradit Complement Altern Med,,,,,,
African Journal of Ecology,,,,,,
Age (Dordr),,,,,,
Aging (Albany NY),,,,,,
Aging Cell,,,,,,
Aging Dis,,,,,,
AIDS,,,,,,
AIDS Res Hum Retroviruses,,,,,,
AIDS Res Ther,,,,,,
AIMS Public Health,,,,,,
AJR Am J Roentgenol,,,,,,
AJR. American journal of roentgenology,,,,,,
Alcohol Res Health,,,,,,
Alcoholism & Drug Abuse Weekly,,,,,,
Algorithms Mol Biol,,,,,,
Aliment Pharmacol Ther,,,,,,
Allergy,,,,,,
Allergy Asthma Immunol Res,,,,,,
Allergy Rhinol (Providence),,,,,,
Alzheimers Res Ther,,,,,,
Am J Bioeth,,,,,,
Am J Clin Pathol,,,,,,
Am J Epidemiol,,,,,,
Am J Hematol,,,,,,
Am J Physiol Gastrointest Liver Physiol,,,,,,
Am J Physiol Lung Cell Mol Physiol,,,,,,
Am J Public Health,,,,,,
Am J Reprod Immunol,,,,,,
Am J Respir Crit Care Med,,,,,,
Am J Transplant,,,,,,
Am J Trop Med Hyg,,,,,,
AMB Express,,,,,,
American Journal of Infection Control,,,,,,
American Journal of Obstetrics and Gynecology,,,,,,
American journal of respiratory and critical care medicine,,,,,,
American Journal of Roentgenology,,,,,,
AMIA Jt Summits Transl Sci Proc,,,,,,
Amino Acids,,,,,,
Anaesthesia Critical Care & Pain Medicine,,,,,,
Anal Bioanal Chem,,,,,,
Anal Biochem,,,,,,
Anal Chem,,,,,,
Anatol J Cardiol,,,,,,
Anatolia,,,,,,
Angew Chem Int Ed Engl,,,,,,
Anim Front,,,,,,
Anim Genet,,,,,,
Anim Nutr,,,,,,
Animal,,,,,,
Animal Model Exp Med,,,,,,
Animals (Basel),,,,,,
Ann Clin Microbiol Antimicrob,,,,,,
Ann Clin Transl Neurol,,,,,,
Ann Glob Health.; 84(4):710-716,,,,,,
Ann Glob Health.; 85(1):3,,,,,,
Ann Hematol,,,,,,
Ann Indian Acad Neurol,,,,,,
Ann Intensive Care,,,,,,
Ann Intern Med,,,,,,
Ann Lab Med,,,,,,
Ann Med Health Sci Res,,,,,,
Ann Med Surg (Lond),,,,,,
Ann N Y Acad Sci,,,,,,
Ann Neurol,,,,,,
Ann Neurosci,,,,,,
Ann Oncol,,,,,,
Ann Palliat Med,,,,,,
Ann Rehabil Med,,,,,,
Ann Saudi Med,,,,,,
Ann Thorac Med,,,,,,
Annals of Translational Medicine,,,,,,
Annals of Work Exposures and Health,,,,,,
Antib Ther,,,,,,
Antibiotics (Basel),,,,,,
Antibodies (Basel),,,,,,
Antiinflamm Antiallergy Agents Med Chem,,,,,,
Antimicrob Agents Chemother,,,,,,
Antimicrob Resist Infect Control,,,,,,
Antioxidants (Basel),,,,,,
Antivir Chem Chemother,,,,,,
Antiviral Res,,,,,,
Antiviral Research,,,,,,
Antonie Van Leeuwenhoek,,,,,,
Appl Clin Genet,,,,,,
Appl Environ Microbiol,,,,,,
Appl Health Econ Health Policy,,,,,,
Appl Microbiol Biotechnol,,,,,,
Appl Netw Sci,,,,,,
Appl Transl Genom,,,,,,
Applicable Analysis,,,,,,
Arch Dis Child,,,,,,
Arch Med Sci,,,,,,
Arch Pharm (Weinheim),,,,,,
Arch Public Health,,,,,,
Arch Virol,,,,,,
Archives of Academic Emergency Medicine,,,,,,
Archives of disease in childhood. Fetal and neonatal edition,,,,,,
Arthritis Res Ther,,,,,,
Asia Pac Allergy,,,,,,
Asia Pac Fam Med,,,,,,
Asia Pac J Oncol Nurs,,,,,,
Asian J Transfus Sci,,,,,,
Asian Journal of Psychiatry,,,,,,
Asian Pac J Cancer Prev,,,,,,
Asian Pacific journal of allergy and immunology,,,,,,
Asian Pacific Journal of Tropical Medicine,,,,,,
Asian-Australas J Anim Sci,,,,,,
ASN Neuro,,,,,,
Aten Primaria,,,,,,
Aust New Zealand Health Policy,,,,,,
Auto Immun Highlights,,,,,,
Autoimmune Dis,,,,,,
Autophagy,,,,,,
Autops Case Rep,,,,,,
Avicenna J Phytomed,,,,,,
Bacteriophage,,,,,,
Balkan Med J,,,,,,
Baylor University Medical Center Proceedings,,,,,,
Beilstein J Org Chem,,,,,,
Biochem Biophys Rep,,,,,,
Biochem Insights,,,,,,
Biochem J,,,,,,
Biochem Res Int,,,,,,
Biochemical and Biophysical Research Communications,,,,,,
Biochemistry,,,,,,
Biochim Biophys Acta,,,,,,
Biochim Biophys Acta Gen Subj,,,,,,
BioData Min,,,,,,
Biodivers Data J,,,,,,
BioDrugs,,,,,,
Bioengineered,,,,,,
Bioethics,,,,,,
Bioinform Biol Insights,,,,,,
Bioinformatics,,,,,,
"Bioinformatics (Oxford, England)",,,,,,
Bioinformation,,,,,,
Biol Direct,,,,,,
Biol Invasions,,,,,,
Biol Open,,,,,,
Biol Proced Online,,,,,,
Biol Res,,,,,,
Biol Trace Elem Res,,,,,,
Biologics,,,,,,
Biology,,,,,,
Biology (Basel),,,,,,
Biomark Insights,,,,,,
Biomed Eng Comput Biol,,,,,,
Biomed Eng Online,,,,,,
Biomed Hub,,,,,,
Biomed Imaging Interv J,,,,,,
Biomed J,,,,,,
Biomed Res Int,,,,,,
Biomedicines,,,,,,
Biometals,,,,,,
Biomol Ther (Seoul),Biomolecules and therapeutics,Korean Society of Applied Pharmacology,not found,1976-9148,2005-4483,not found
Biomolecules,Biomolecules,MDPI,Alaimo,2218-273X (not clear if electornic or print,2218-273X (not clear if electornic or print,4.694
Biosafety and Health,Biosafety and health,Elselvier,Wu,2590-0536(not clear if electornic or print,2590-0536 (not clear if electronic or print,not found
Biosci Rep,Bioscience reports,Portland press,Hong,0144-8463,1573-4935,not found
Biosci Trends,BioScience Trends,US National Library of Medicine,Kokudo,1881-7815,1881-7823,1.686
BioScience Trends,BioScience Trends,US National Library of Medicine,Kokudo,1881-7815,1881-7823,1.686
"BioScience TrendsAB - As of January 22, 2020, a total of 571 cases of the 2019-new coronavirus (2019-nCoV) have been reported in 25 provinces (districts and cities) in China. At present, there is no vaccine or antiviral treatment for human and animal coro",Bioscience trends,US National Library of Medicine,Kokudo,1881-7816,1881-7824,1.686
Biosensors (Basel),Biosensors   ,MDPI,Marrazza/Liu,2079-6374 (not clear if electornic or print,2079-6374 (not clear if electornic or print,3.57
Biosensors and Bioelectronics,Biosensors and bioelectronics,Elselvier,Gu/Li/Merkoci,0956-5663 (not clear if electronic or print,0956-5663 (not clear if electronic or print),9.518
Biotechnol J,Biotechnology journal,Wiley online library, Jungbauer,Not found,1860-7314,3.453
Biotechnol Rep (Amst),Biotechnology reports,Elselvier,Mattison,2215-017X  (not clear if electornic or print,2215-017X (not clear if electronic or print),4.57
BJGP Open,British journal of general practice open,British journal of general practice,Miller,2398-3795 (not clear if electornic or print,2398-3795 (not clear if electronic or print,not found
BJOG: An International Journal of Obstetrics & Gynaecology,British journal of general practice: an international journal of obsterics and gynaecology,British journal of general practice,Marsh,Not found,1471-0528,5.193
BMB Rep,British medical bullietin reports,British medical bulletin ,Kang,Not found,1976-670X,not found
BMC Anesthesiol,Biomedical Central Anesthesiology,Springer,Tu,Not found,1471-2253,2 year- 1.619 5 year-2.040
BMC Biochem,Biomedical Central Biochemistry,Springer,Cuff,Not found,1471-2091,2 year-1.595 5 year-1.515
BMC Bioinformatics,Biomedical Central Informatics,Springer,Cuff,Not found,1471-2105,2 year-2.511 5 year- 2.970
BMC Biol,Biomedical Central Biology,Springer,Not certain,Not found,1741-7007,2 year-6.723 5 year- 7.508
BMC Biotechnol,Biomedical Central Biotechnology,Springer,Sridhar,Not found,1472-6750,2 year-2.303 5 year-2.861
BMC Cancer,Biomedical Central Cancer,Springer,Gummlich,Not found,1471-2407,2 year-2.933 5 year-3.424
BMC Cell Biol,Biomedical central cell biology,Springer,Cuff,Not found,2661-8850,2 year-3.485 5 year-3.227
BMC Complement Altern Med,Biomedical Central complementary and  alternative medicine,Springer,Menard,Not found,2662-7671,2 year- 2.479 5 year-2.820
BMC Dev Biol,Biomedical Central Developmental Biology,Springer,Sridhar,Not found,1471-213X,2 year-2.368 5 year-2.979
